well_id,scenario,score_total,verdict,score_flow,score_temp,score_perm,score_thick,score_dist,score_depth,flow_rate_m3h,temperature_c,permeability_md,thickness_m,distance_km,depth_m,heat_output_mwth,meets_heat_target,notes
BLT-01,P10,77.2,STRONG,30.0,9.6,20.0,6.6,8.0,3.0,469.0,77.0,559.07,198.88199999993594,2.032828276097129,2023.4909999993558,20.15,True,
PKP-01,P10,41.7,MARGINAL,0.0,13.6,19.0,7.3,0.0,1.7,0.0,88.0,190.21,220.4000000000001,22.716662832999923,2640.7004,0.0,False,
EVD-01,P10,40.9,MARGINAL,0.0,7.9,20.0,10.0,0.0,3.0,0.0,72.0,205.08,408.90010000000007,14.322697965118165,1992.4502875061128,0.0,False,
JUT-01,P10,39.3,MARGINAL,16.5,7.9,0.0,10.0,2.3,2.7,110.0,72.0,0.001,1664.9164000000003,7.748433712693166,2147.178060490878,4.09,False,
BLT-01,P50,62.9,VIABLE,15.8,9.6,20.0,6.6,8.0,3.0,105.0,77.0,752.1,198.88199999993594,2.032828276097129,2023.4909999993558,4.51,False,
PKP-01,P50,42.6,MARGINAL,0.0,13.6,20.0,7.3,0.0,1.7,0.0,88.0,367.95,220.4000000000001,22.716662832999923,2640.7004,0.0,False,
EVD-01,P50,40.9,MARGINAL,0.0,7.9,20.0,10.0,0.0,3.0,0.0,72.0,519.12,408.90010000000007,14.322697965118165,1992.4502875061128,0.0,False,
JUT-01,P50,31.1,MARGINAL,8.2,7.9,0.0,10.0,2.3,2.7,55.0,72.0,0.001,1664.9164000000003,7.748433712693166,2147.178060490878,2.04,False,
BLT-01,P90,49.7,MARGINAL,2.6,9.6,20.0,6.6,8.0,3.0,17.0,77.0,780.86,198.88199999993594,2.032828276097129,2023.4909999993558,0.73,False,
PKP-01,P90,42.6,MARGINAL,0.0,13.6,20.0,7.3,0.0,1.7,0.0,88.0,384.85,220.4000000000001,22.716662832999923,2640.7004,0.0,False,
EVD-01,P90,40.9,MARGINAL,0.0,7.9,20.0,10.0,0.0,3.0,0.0,72.0,535.28,408.90010000000007,14.322697965118165,1992.4502875061128,0.0,False,
JUT-01,P90,26.7,MARGINAL,3.9,7.9,0.0,10.0,2.3,2.7,26.0,72.0,0.001,1664.9164000000003,7.748433712693166,2147.178060490878,0.97,False,
